How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Better,Inferior,Inferior,Inferior,Same,Same,Same,Inferior,Better,Inferior,Same,Better,Inferior,"The room must be clean and have to provide some nice facilities to room(A.C, Attached Bathroom)"
Lower,"No, hostel is better",Lower,Better,Inferior,Same,Same,Better,Better,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Same,Non
Same,"Yes, comparable",Same,Better,Better,Same,Same,Better,Better,Same,Same,Same,Better,Same,Same,Same,Same,Same,Same,Better,Same,1.Mess fee reduction
Lower,"No, outside is better",Lower,Better,Same,Inferior,Same,Same,Same,Inferior,Same,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Better,Inferior,Inferior,1.Permission to visit home can be increased
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Inferior,Better,Same,Same,Same,Inferior,Same,Inferior,Inferior,Same,Better,Better,Better,"1.Providing more permissions to visit home.
2.Entry and exit procedure for visitors could be simplified"
Lower,"No, hostel is better",Lower,Better,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Inferior,Same,Same,Same,Better,Same,Same,1.Mess fee reduction
Same,"No, outside is better",Lower,Better,Inferior,Inferior,Same,Better,Same,Inferior,Inferior,Same,Better,Inferior,Inferior,Better,Better,Inferior,Same,Better,Better,"1.Permissions can be increased
2.outing can be permitted twice per month
3.Mess timing can be increased"
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Inferior,Better,Better,Better,Better,Better,Better,Same,Better,Inferior,Better,Better,Better,"increase number of permission
extend in and out time"
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,no
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Same,Same,Same,Same,Better,Better,Better,Better,Same,Same,Same,Same,Better,Better,no
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Same,Same,Same,Same,Better,Better,Better,Better,Same,Same,Same,Same,Better,Better,no
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Better,Same,Same,Better,Better,Same,Same,Better,Better,Same,Same,Better,Better,no
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,NO
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Better,Better,Better,Same,Same,Better,Better,Same,Better,Same,Better,Better,Better,"Can be liberal
Can be extended 
"
Lower,"No, outside is better",Lower,Inferior,Inferior,Inferior,Inferior,Better,Inferior,Same,Same,Same,Inferior,Better,Inferior,Same,Better,Same,Better,Same,Same,"More permissions 
Visiting time can be allotted"
Lower,"Yes, comparable",Lower,Better,Inferior,Same,Inferior,Same,Same,Same,Inferior,Inferior,Inferior,Same,Inferior,Same,Better,Same,Same,Same,Same,nil
Lower,"Yes, comparable",Same,Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Better,nil
Lower,"No, outside is better",Higher,Better,Inferior,Inferior,Inferior,Same,Same,Better,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Same,Same,nil
Lower,"No, outside is better",Lower,Better,Inferior,Inferior,Inferior,Same,Inferior,Same,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Same,Better,Same,nil
Higher,"Yes, comparable",Same,Better,Inferior,Inferior,Same,Inferior,Same,Better,Inferior,Inferior,Inferior,Better,Inferior,Inferior,Better,Same,Better,Inferior,Better,nil
Same,"No, hostel is better",Lower,Better,Same,Same,Better,Same,Same,Inferior,Better,Better,Better,Better,Same,Better,Better,Better,Better,Better,Better,"permissions to go home monthly once, some apps not accessible in sastra wifi"
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Same,Inferior,Same,Better,Inferior,Inferior,Better,Inferior,Inferior,Better,Same,Inferior,Better,Inferior,Better,nil
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Same,Same,Inferior,Inferior,Same,Same,Better,Same,Same,"5 permissions per semester to go home, in time should be increased, 2 outing permissions, relatives should be allowed"
Lower,"Yes, comparable",Lower,Better,Better,Better,Inferior,Better,Better,Better,Same,Same,Inferior,Same,Same,Better,Better,Same,Better,Inferior,Better,nil
Same,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Better,Same,Inferior,Same,Inferior,Same,Better,Inferior,Better,Same,Same,Same,Inferior,"More number of permissions
Allow on more visits
Allow visitors to vist"
Same,"Yes, comparable",Lower,Inferior,Same,Same,Same,Same,Better,Better,Inferior,Inferior,Inferior,Better,Same,Inferior,Same,Inferior,Same,Same,Inferior,nil
Lower,"Yes, comparable",Lower,Better,Inferior,Same,Better,Better,Better,Better,Better,Same,Better,Same,Same,Better,Better,Same,Better,Same,Better,nil
Lower,"No, outside is better",Lower,Same,Better,Same,Better,Same,Same,Better,Better,Same,Inferior,Better,Better,Better,Better,Inferior,Better,Better,Inferior,"More number of permissions
allow parents on all visits
provide space for storing things on shifting rooms
Allow visitors without restrictions"
Lower,"Yes, comparable",Same,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Inferior,Same,Inferior,Same,Inferior,Inferior,Better,Same,Same,Inferior,Inferior,"4 permissions per semester, roll time curfew can be increased, more outing permissions"
Same,"Yes, comparable",Same,Same,Better,Inferior,Inferior,Better,Same,Same,Inferior,Same,Inferior,Same,Better,Inferior,Inferior,Inferior,Same,Better,Inferior,Visitor Restrictions need to be lightened
Same,"Yes, comparable",Same,Better,Same,Inferior,Same,Better,Better,Same,Same,Same,Same,Inferior,Same,Better,Same,Inferior,Better,Better,Better,nil
Lower,"No, outside is better",Lower,Same,Better,Same,Same,Better,Better,Better,Inferior,Better,Better,Better,Better,Same,Better,Inferior,Better,Better,Inferior,"More number of permissions
should allow parents on all visits"
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Inferior,Same,Inferior,Same,Same,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Same,Same,"4 permissions per semester, roll time can be increased"
Same,"Yes, comparable",Lower,Better,Better,Better,Inferior,Better,Better,Better,Inferior,Better,Inferior,Inferior,Better,Better,Better,Better,Better,Better,Better,"More number of permissions
allow parents on all visits
extend mess timing on weekends"
Higher,"No, outside is better",Same,Better,Inferior,Inferior,Same,Inferior,Same,Same,Inferior,Inferior,Better,Better,Same,Inferior,Inferior,Same,Same,Same,Inferior,nil
Lower,"No, hostel is better",Lower,Better,Inferior,Inferior,Inferior,Better,Inferior,Inferior,Inferior,Inferior,Same,Same,Inferior,Better,Better,Better,Same,Inferior,Better,more permissions to go home
Lower,"Yes, comparable",Same,Better,Inferior,Inferior,Same,Inferior,Inferior,Same,Inferior,Same,Inferior,Same,Inferior,Better,Inferior,Inferior,Better,Same,Same,NIL
Lower,"Yes, comparable",Lower,Inferior,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Inferior,Better,NIL
Lower,"Yes, comparable",Lower,Better,Better,Better,Same,Better,Better,Better,Better,Better,Inferior,Same,Better,Better,Better,Same,Better,Better,Better,nil
Lower,"No, hostel is better",Lower,Same,Better,Better,Better,Better,Better,Better,Better,Same,Inferior,Inferior,Better,Better,Better,Better,Better,Better,Inferior,Higher wifi speed for video calls
Lower,"No, outside is better",Lower,Better,Inferior,Inferior,Better,Better,Better,Inferior,Better,Better,Same,Inferior,Inferior,Better,Same,Same,Same,Better,Better,nil
Lower,"No, hostel is better",Higher,Better,Same,Better,Inferior,Same,Inferior,Same,Better,Better,Better,Inferior,Inferior,Inferior,Inferior,Better,Same,Inferior,Same,NIL
Same,"No, outside is better",Same,Same,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Better,Same,nil
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Same,Same,Same,Inferior,Better,Same,Same,Same,Inferior,nil
Lower,"Yes, comparable",Lower,Same,Better,Same,Inferior,Same,Same,Same,Better,Better,Better,Better,Better,Better,Inferior,Same,Better,Better,Same,nil
Same,"Yes, comparable",Same,Same,Inferior,Inferior,Inferior,Same,Same,Same,Same,Same,Inferior,Inferior,Better,Inferior,Inferior,Same,Same,Same,Same,No of permissions for  per semester to be increased to 4 at least   
Same,"No, outside is better",Lower,Same,Better,Inferior,Better,Better,Better,Same,Inferior,Same,Inferior,Better,Same,Inferior,Same,Inferior,Better,Better,Better,nil
Higher,"Yes, comparable",Lower,Better,Same,Same,Better,Same,Same,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Better,Inferior,Same,Same,Same,nil
Lower,"No, outside is better",Same,Better,Better,Same,Same,Same,Same,Same,Same,Same,Inferior,Same,Better,Better,Inferior,Inferior,Better,Same,Same,"Need a better catering,there can be cross-mobility,there must be improvement in room cleanliness"
Same,"No, outside is better",Same,Better,Same,Same,Same,Same,Same,Same,Same,Same,Inferior,Same,Same,Better,Better,Same,Same,Same,Better,In time can be extended for girls
Higher,"Yes, comparable",Same,Better,Better,Same,Inferior,Better,Better,Better,Inferior,Same,Same,Inferior,Better,Same,Better,Inferior,Better,Better,Better,Mess fees bit high
Lower,"No, hostel is better",Lower,Same,Better,Inferior,Inferior,Inferior,Inferior,Better,Inferior,Better,Better,Better,Better,Same,Better,Same,Better,Better,Better,Increase in number of permissions
Higher,"No, hostel is better",Lower,Better,Same,Same,Same,Same,Better,Better,Same,Inferior,Same,Better,Better,Same,Same,Inferior,Better,Same,Same,MORE PERMISSIONS TO VISIT HOME
Lower,"Yes, comparable",Lower,Better,Inferior,Same,Same,Better,Same,Better,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Better,Same,Better,Same,Same,Make semester permissions more
Lower,"No, hostel is better",Lower,Better,Same,Inferior,Inferior,Same,Same,Better,Same,Same,Inferior,Inferior,Same,Inferior,Better,Same,Same,Same,Better,"1.)college should permit student to go on leave during weekends
2.)providing lunch to parents during visiting(if possible)"
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Same,Same,Inferior,Same,Same,Better,Better,Better,Better,Better,Same,Same,more no of leave permissions
Higher,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Better,Same,Same,Inferior,Same,Same,Better,Better,Same,Better,Better,Better,No of leave permissions to be increased
Same,"No, outside is better",Lower,Same,Same,Same,Same,Same,Same,Same,Same,Inferior,Inferior,Inferior,Same,Better,Same,Same,Better,Better,Better,"1.)ac rooms in hostel
2.)non veg in hostel
3.)mess timings to  be extended(morning 8am to 10:30 am).(night 8pm to 10:pm)"
Lower,"Yes, comparable",Higher,Same,Same,Better,Better,Same,Better,Same,Better,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,increase permission per semester
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Same,Inferior,Same,Same,Better,Better,Same,Better,Same,Same,Same,Same,increase no of permission to 5
Lower,"Yes, comparable",Lower,Better,Inferior,Same,Better,Better,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Better,Better,Better,Better,Same,Inferior,more number permissions
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Better,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Same,Better,Inferior,Better,Inferior,Better,Better,Same,"Permissions can be increased, mess bill can be reduced, taste of food can be improved"
Higher,"Yes, comparable",Same,Inferior,Same,Inferior,Inferior,Same,Same,Inferior,Same,Inferior,Same,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Same,"Reduce mess bill, Change catering kindly, Reduce hostel fees but provide efficient support, provide better hostel security"
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Same,Better,Same,Better,Same,Inferior,Better,Better,Better,Same,Better,Better,Better,More parent visits
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Inferior,Inferior,Same,Same,Same,Better,Better,Better,Better,Better,Better,Better,"Limited Permissions to go home, should be changed and more tolerances for holidays and special occasions, Also places for parents to sit/wait while coming to drop their wards for the next academic year."
Lower,"No, hostel is better",Lower,Same,Better,Inferior,Inferior,Same,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Inferior,Same,Same,Same,More number of permissions to go their respective home
Lower,"No, hostel is better",Lower,Better,Same,Better,Inferior,Same,Better,Better,Inferior,Better,Same,Better,Better,Better,Better,Better,Better,Better,Same,Permissions per semester increase and wifi rule can be lenient.
Same,"Yes, comparable",Lower,Same,Inferior,Inferior,Same,Same,Same,Inferior,Better,Inferior,Same,Inferior,Same,Better,Same,Same,Same,Same,Same,make mess food more tastier.
Same,"Yes, comparable",Same,Same,Better,Inferior,Same,Inferior,Same,Same,Inferior,Same,Better,Better,Same,Same,Better,Same,Inferior,Same,Same,the food is not good i heard so mess food catering should be changed
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,mess catering should be changed 
Lower,"No, hostel is better",Lower,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Better,Same,air ventilation need to improved by growing trees 
Lower,"No, hostel is better",Lower,Better,Inferior,Same,Same,Better,Better,Inferior,Inferior,Same,Better,Better,Same,Better,Better,Better,Better,Better,Better,"Limited Permissions per semester should be dynamic, more permissions for students in first and second years, and lesser permissions for students in higher academic semesters."
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Better,Better,Same,Better,Same,Better,Same,Inferior,Better,Better,Better,Better,Better,"In and out timings can be lenient.
More permissions per semester."
Lower,"Yes, comparable",Same,Better,Same,Same,Same,Inferior,Inferior,Better,Same,Better,Inferior,Same,Inferior,Same,Better,Same,Better,Better,Same,"No of permissions can be increased
Increase IN time
Number of weekend shopping can be increased"
Lower,"No, hostel is better",Lower,Better,Better,Better,Same,Better,Inferior,Better,Same,Better,Same,Better,Inferior,Inferior,Better,Inferior,Better,Inferior,Inferior,limiter permission per semester is not enough should be incresed
Lower,"No, hostel is better",Lower,Better,Better,Better,Same,Better,Better,Inferior,Inferior,Inferior,Same,Same,Same,Better,Better,Inferior,Better,Same,Better,"More Permissions to visit parents, and more holiday window for reaching home in distant places"
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Same,Same,Better,Better,Inferior,Same,Same,Same,Better,Better,Inferior,Same,Same,Better,Increase the number of permission 
Lower,"No, hostel is better",Lower,Better,Same,Same,Better,Better,Same,Same,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Biometric timings can be changed
Same,"Yes, comparable",Lower,Better,Better,Better,Inferior,Better,Inferior,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Need more permission to visit home
Same,"Yes, comparable",Same,Better,Same,Better,Better,Better,Better,Better,Better,Same,Better,Better,Same,Better,Same,Same,Better,Better,Better,No change
Lower,"No, hostel is better",Lower,Better,Better,Better,Inferior,Better,Better,Better,Inferior,Inferior,Inferior,Better,Better,Better,Better,Inferior,Better,Better,Same,More permissions per semester
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Same,Inferior,Same,Inferior,Same,Same,Same,Better,Same,Same,Better,Better,Same,"Regular visits of parents during weekends can be increased,mess timings can be extended "
Lower,"Yes, comparable",Lower,Inferior,Better,Better,Inferior,Better,Better,Better,Better,Inferior,Inferior,Same,Better,Inferior,Better,Better,Better,Same,Better,Permissions can be increased and leaves could be bit more lenient
Same,"Yes, comparable",Same,Same,Same,Inferior,Inferior,Same,Better,Better,Same,Same,Inferior,Better,Same,Same,Same,Inferior,Better,Better,Same,More permission can be given
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Same,Same,Same,Inferior,Inferior,Same,Same,Better,Inferior,Better,Same,Same,Same,"If a student is interested, same room can be provided for all semesters"
Lower,"Yes, comparable",Same,Better,Same,Same,Same,Same,Same,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Better,Same,Same,Same,Same,Same,Mess timings should be extended 
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Same,Better,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Better,Inferior,Better,Better,Better,"IN and OUT time - Increase to 9 pm
Visitors Restriction - Allow family members"
Same,"Yes, comparable",Same,Better,Same,Same,Same,Better,Better,Better,Same,Same,Same,Better,Same,Inferior,Better,Inferior,Same,Same,Better,"Limited permissions per semester - more than 2
IN and OUT time - Make it longer
Weekend Shopping(for girls) - more outings
Changing rooms every semester - Luggage accomodation
Mess timings - Breakfast upto 10
Wi-Fi rule - Phone
Any other - more outings"
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Same,Same,Same,Inferior,Same,Inferior,Inferior,Inferior,Same,Better,Better,Same,Better,Same,Same,Mess timings can be extended 
Lower,"No, hostel is better",Lower,Better,Better,Better,Inferior,Better,Better,Better,Inferior,Better,Same,Better,Same,Better,Better,Better,Better,Better,Same,"Changes in in and out timing.
More permissions."
Same,"Yes, comparable",Same,Better,Better,Better,Better,Same,Same,Inferior,Same,Inferior,Same,Inferior,Same,Better,Same,Same,Same,Same,Same,Mess timings can be extended 
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Same,Better,Better,Better,Inferior,Same,Same,Better,Same,Same,Better,Inferior,Same,Same,Same,The permissions per semester can be increased
Lower,"Yes, comparable",Lower,Inferior,Better,Better,Better,Better,Better,Better,Inferior,Inferior,Inferior,Inferior,Better,Same,Better,Same,Better,Better,Same,Hospital for emergency.
Same,"Yes, comparable",Lower,Same,Same,Inferior,Inferior,Same,Inferior,Better,Same,Better,Inferior,Inferior,Same,Inferior,Same,Same,Better,Better,Same,
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Better,Better,Same,Inferior,Same,Inferior,Better,Inferior,Same,Better,Inferior,Same,Better,Better,"Limited permissions - Increase more
IN and OUT time - Extend to 8 pm
Mess timings - Until 9 pm
Visitors instructions - Allow family members"
Same,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Better,Better,Better,Better,Same,Better,"Can provide air conditioner, better food variety and infrastructure."
Lower,"Yes, comparable",Lower,Better,Same,Better,Same,Better,Better,Same,Same,Same,Inferior,Inferior,Same,Inferior,Better,Better,Better,Better,Better,"Limited permissions - 1 per month
IN and OUT time - make 7-7
Mess timing - Morning and night till 9.30
Wi-Fi - Not at all coming"
Lower,"Yes, comparable",Lower,Same,Same,Better,Same,Better,Better,Same,Inferior,Same,Inferior,Same,Same,Inferior,Better,Same,Better,Same,Same,"Limited permissions per semester - 3 permissions per semester
IN and OUT time - In Time can be extended till 8 pm
Weekend Shopping(for girls) - In time can be extended till 6 pm
Visitors restrictions - Visitors room can be arranged"
Same,"Yes, comparable",Lower,Inferior,Better,Inferior,Inferior,Better,Inferior,Better,Inferior,Inferior,Inferior,Better,Better,Inferior,Better,Better,Better,Inferior,Inferior,"number of leave permissions to be increased
in out time can be extended"
Same,"Yes, comparable",Lower,Same,Better,Better,Same,Better,Better,Better,Inferior,Inferior,Same,Better,Better,Same,Better,Inferior,Better,Inferior,Inferior,there should not be any formalities during emergency
Same,"Yes, comparable",Lower,Better,Same,Same,Better,Better,Same,Same,Inferior,Better,Inferior,Same,Inferior,Inferior,Better,Same,Better,Better,Same,"no limits for home visit
2 weekends outing per month
"
Lower,"No, hostel is better",Lower,Better,Same,Same,Same,Same,Same,Same,Same,Same,Better,Better,Same,Better,Better,Better,Better,Same,Better,INCREASED NUMBER OF SEMESTER PERMISSIONS
Lower,"Yes, comparable",Lower,Better,Same,Better,Better,Better,Better,Better,Better,Inferior,Same,Same,Same,Better,Better,Better,Better,Better,Better,INCREASED NUMBER OF SEMESTER PERMISSIONS
Same,"No, hostel is better",Lower,Better,Better,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,"Mess bill is higher, measures should be taken to reduce it"
Lower,"Yes, comparable",Same,Better,Better,Better,Same,Same,Same,Same,Same,Same,Better,Better,Better,Same,Same,Same,Better,Better,Better,The count for permissions per semester can be increased 
Lower,"Yes, comparable",Lower,Same,Same,Same,Same,Better,Better,Better,Better,Same,Same,Same,Same,Same,Same,Same,Better,Better,Better,Rooms can be air conditioned 
Lower,"Yes, comparable",Higher,Better,Better,Better,Same,Same,Same,Better,Better,Better,Same,Same,Same,Better,Better,Better,Same,Same,Same,Mess bill can be reduced 
Higher,"Yes, comparable",Lower,Better,Better,Better,Same,Same,Same,Better,Better,Better,Same,Same,Same,Better,Better,Better,Same,Same,Same,Permissions can be increased 
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Same,Better,Better,Better,Inferior,Better,Better,Better,Better,Same,Better,Inferior,Better,Same,Same,The visiting restrictions for parents must be changed
Same,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Better,Better,Inferior,Same,Same,Better,Better,Same,Better,Inferior,Same,Same,Same,Cross mobility between hostels could be changed
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Better,Better,Better,Better,Inferior,Better,Same,Better,Same,Same,Better,Inferior,Same,Same,Same,Increase in no of permissions per semester 
Lower,"No, hostel is better",Lower,Better,Same,Same,Same,Better,Better,Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,INCREASING THE NUMBER OF PERMISSIONS PER SEMESTER
Lower,"Yes, comparable",Lower,Inferior,Same,Same,Better,Better,Inferior,Same,Same,Better,Inferior,Same,Same,Better,Better,Same,Same,Same,Same,"1. Increase limit to go home upto 5.
2. Allow easy mobility across hostels.
3. Allow parents to visit other then on weekends.
4. Do not change rooms.
5. Increase wifi speed."
Lower,"Yes, comparable",Lower,Better,Same,Better,Better,Better,Better,Better,Better,Same,Same,Same,Same,Inferior,Better,Better,Better,Better,Better,NUMBER OF SEMESTER PERMISSIONS CAN BE INCREASED AND THE ROLL CALL TIME (IN TIME) CAN BE EXTENDED
Same,"Yes, comparable",Lower,Better,Better,Same,Same,Same,Inferior,Same,Inferior,Same,Inferior,Same,Same,Better,Better,Same,Same,Same,Same,"1. Let them have same room.
2. Allow visitors to visit during weekends."
Lower,"Yes, comparable",Same,Better,Same,Same,Same,Same,Inferior,Same,Same,Inferior,Inferior,Inferior,Better,Better,Better,Same,Same,Better,Better,"1. Allow easy mobility.
2. Allow parents to visit on workdays.
3. Do not change rooms.
4. Increase wifi speed."
Lower,"No, hostel is better",Lower,Better,Inferior,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Better,Better,Better,Same,Better,Better,MORE NUMBER OF SEMESTER PERMISSIONS
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Same,Same,Better,Same,Inferior,Inferior,Same,Same,Better,Better,Same,Same,Same,Same,"1. Increase  limit to go home every semester.
2. Do not change rooms every year."
Lower,"Yes, comparable",Lower,Same,Same,Inferior,Inferior,Same,Same,Better,Same,Same,Inferior,Inferior,Same,Better,Better,Same,Same,Same,Better,"1. Increase limit to go home every semester upto 5.
2. Increase hostel in time.
3. Allow easy mobility across hostels.
4. Do not make them change rooms.
5. Increase Wi-Fi speed."
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Same,Same,Same,Same,Same,Inferior,Better,Better,Better,Same,Same,Same,Same,Lower mess fees
Lower,"No, hostel is better",Same,Better,Same,Same,Inferior,Same,Same,Better,Same,Same,Inferior,Inferior,Better,Better,Better,Same,Better,Same,Same,Can provide more permission to the students.
Lower,"No, hostel is better",Lower,Better,Better,Same,Same,Better,Same,Same,Same,Same,Same,Inferior,Better,Same,Better,Same,Better,Same,Same,"Girls should be provided more freedom
Better WiFi is also necessary"
Same,"No, hostel is better",Lower,Better,Better,Same,Inferior,Same,Same,Same,Same,Same,Same,Same,Better,Better,Better,Inferior,Same,Same,Better,NIL
Same,"No, hostel is better",Same,Better,Better,Same,Inferior,Same,Same,Same,Same,Same,Inferior,Same,Better,Better,Same,Inferior,Same,Same,Same,NIL
Same,"Yes, comparable",Lower,Same,Same,Inferior,Inferior,Better,Same,Better,Inferior,Better,Same,Same,Better,Same,Better,Better,Better,Better,Same,Better Wi-Fi facility
Same,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Inferior,Same,Same,Better,Better,Same,Same,Better,Same,Better,Better,Same,Same,More permissions per semester
Lower,"Yes, comparable",Lower,Inferior,Better,Better,Same,Same,Inferior,Better,Better,Inferior,Better,Same,Same,Same,Same,Better,Same,Same,Same,Limited permission per semester 
Same,"Yes, comparable",Lower,Better,Inferior,Same,Same,Inferior,Inferior,Better,Same,Same,Same,Better,Better,Better,Same,Same,Better,Same,Same,No change
Lower,"No, outside is better",Lower,Better,Better,Same,Same,Same,Inferior,Better,Same,Better,Better,Better,Same,Same,Same,Better,Better,Better,Better,no change
Same,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Inferior,Same,Inferior,Same,Same,Better,Better,Same,Same,Better,Better,Same,Same,More permissions per semester
Same,"Yes, comparable",Same,Same,Inferior,Better,Inferior,Better,Inferior,Better,Better,Same,Better,Better,Better,Better,Same,Same,Better,Better,Same,"Limited permission should be increased, Ac installation "
Same,"Yes, comparable",Same,Better,Inferior,Same,Inferior,Better,Inferior,Better,Better,Same,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Same,Same,"Permission for home and shopping should be increased, AC accommodations "
Same,"Yes, comparable",Same,Better,Same,Better,Same,Better,Better,Better,Same,Same,Same,Better,Same,Better,Inferior,Same,Better,Same,Better,Permission atleast for 3times
Same,"Yes, comparable",Same,Better,Inferior,Inferior,Same,Better,Inferior,Same,Inferior,Better,Better,Better,Inferior,Inferior,Better,Same,Better,Better,Better,Increase the number of permission 
Same,"Yes, comparable",Same,Better,Inferior,Same,Inferior,Better,Inferior,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Better,Better,Better,"Permission could be more, mess timings could be extended "
Lower,"No, hostel is better",Same,Same,Better,Inferior,Inferior,Better,Better,Inferior,Inferior,Better,Better,Better,Better,Better,Better,Better,Same,Better,Better,"To avoid regulating visits of parents, and make an event or couple of events for both students and parents, which will make both students and parents happy."
