How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Same,"No, outside is better",Same,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Same,Same,Same,Better,Same,Same,Same,Inferior,Better,Same,Better,"Changing rooms on Health grounds with proper evidence, Best Wi-Fi Speed, Mess food hygiene, frequent quality checks and ensuring without compromise"
Higher,"No, outside is better",Same,Better,Same,Inferior,Inferior,Same,Inferior,Same,Same,Same,Inferior,Same,Same,Inferior,Same,Inferior,Same,Same,Better,Mess Food quality is not up to the mark for the inmates and payment can be made like use and pay system; not like fixed pay per month due to improper quality and variety less food arrangements as Food is also most important requirement for children to study with a good focus towards their future away from their first home.
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Better,Inferior,Better,Better,Better,Better,Better,Same,Better,Better,Better,Better,Better,Better,"INCREASE NUMBER OF PERMISSIONS
INCREASE OUTING TIME"
Same,"Yes, comparable",Same,Better,Same,Same,Same,Better,Better,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Same,Same,Same,Same,Same,na
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Better,Inferior,Same,Same,Same,Same,Inferior,Same,Same,Better,"INCREASE PERMISSIONS TO 4
REGULATING PARENTS VISITS TO 4 PER SEM"
Lower,"Yes, comparable",Same,Better,Better,Inferior,Inferior,Same,Same,Same,Inferior,Better,Same,Same,Better,Inferior,Same,Same,Better,Better,Better,"INCREASE TO MORE THAN 5
INCREASE OUTING TIME TO MORE THAN 10:30 PM"
Same,"No, outside is better",Lower,Same,Same,Inferior,Inferior,Same,Inferior,Same,Same,Inferior,Same,Same,Inferior,Inferior,Same,Same,Better,Same,Better,na
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Same,Same,Better,Same,Same,Same,Better,Better,Same,Same,Same,Inferior,"ALLOW STUDENTS TO STUDY BY GOING ACROSS MOBILITY
INCREASED PERMISSION OF PARENTS VISITING TO 4
ALLOWING FEMALE PARENTS INSIDE TOO"
Same,"Yes, comparable",Same,Better,Same,Inferior,Same,Same,Same,Same,Same,Better,Better,Better,Same,Inferior,Same,Same,Better,Same,Better,rules regarding timings and number of leave permissions restrictions  can be relaxed
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Same,Better,Better,Better,Same,Better,Same,Same,Better,Better,Better,Same,Same,"increased permissions 
relax in and out timings FOR PARENTS VISITING
"
